,pdf
0,https://bitcoin.org/bitcoin.pdf
1,http://blockchainlab.com/pdf/Ethereum_white_paper-a_next_generation_smart_contract_and_decentralized_application_platform-vitalik-buterin.pdf
2,https://ripple.com/files/ripple_consensus_whitepaper.pdf
3,https://bitcoin.org/bitcoin.pdf
4,https://www.binance.com/resources/ico/Binance_WhitePaper_en.pdf
5,https://tether.to/wp-content/uploads/2016/06/TetherWhitePaper.pdf
6,https://www.stellar.org/papers/stellar-consensus-protocol.pdf
7,https://tron.network/static/doc/white_paper_v_2_0.pdf
8,https://www.getmonero.org/library/Zero-to-Monero-1-0-0.pdf
9,https://cosmos.network/cosmos-whitepaper.pdf
10,https://iota.org/IOTA_Whitepaper.pdf
11,https://ethereumclassic.github.io/assets/etc-thesis.pdf
12,https://tezos.com/static/white_paper-2dc8c02267a8fb86bd67a108199441bf.pdf
13,https://nem.io/NEM_techRef.pdf
14,https://makerdao.com/whitepaper/DaiDec17WP.pdf
15,https://ont.io/wp/Ontology-Introductory-White-Paper-EN.pdf
16,http://zerocash-project.org/media/pdf/zerocash-extended-20140518.pdf
17,https://bitcoingold.org/wp-content/uploads/2017/10/BitcoinGold-Roadmap.pdf
18,https://basicattentiontoken.org/BasicAttentionTokenWhitePaper-4.pdf
19,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
20,https://www.centre.io/pdfs/centre-whitepaper.pdf
21,https://decred.org/research/buterin2014.pdf
22,https://cdn.omise.co/omg/whitepaper.pdf
23,https://www.bittorrent.com/btt/btt-docs/BitTorrent_Token_Whitepaper.pdf
24,https://wavesplatform.com/files/whitepaper_v0.pdf
25,https://files.holo.host/2017/11/Holo-Currency-White-Paper_2017-11-28.pdf
26,https://ravencoin.org/assets/documents/Ravencoin.pdf
27,https://docs.zilliqa.com/whitepaper.pdf
28,https://0x.org/pdfs/0x_white_paper.pdf
29,https://www.augur.net/whitepaper.pdf
30,https://pundix.com/pdf/PundiX_Whitepaper_EN_Ver.pdf
31,https://www.docdroid.net/Vy9055S/bytom-economic-white-paper-10.pdf
32,https://auroradao.com/whitepaper/Aurora-Labs-Whitepaper-V0.9.7.pdf
33,https://komodoplatform.com/wp-content/uploads/2018/05/2018-05-09-Komodo-White-Paper-Full.pdf
34,https://standard.paxos.com/whitepaper.pdf
35,https://digix.global/whitepaper.pdf
36,http://docs.icon.foundation/ICON-Whitepaper-EN-Draft.pdf
37,https://www.bitshares.foundation/papers/BitSharesBlockchain.pdf
38,https://aion.network/media/en-aion-network-technical-introduction.pdf
39,https://www.chainwhy.com/upload/default/20181026/bc9c7a27b29272dccbcbdeafbd2e3283.pdf
40,https://static.coinpaprika.com/storage/cdn/whitepapers/63.pdf
41,http://newmetaverse.org/white-paper/Metaverse-white-paper-v2.1-EN.pdf
42,https://vergecurrency.com/static/blackpaper/verge-blackpaper-v5.0.pdf
43,https://www.aeternity.com/aeternity-blockchain-whitepaper.pdf
44,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
45,https://sia.tech/sia.pdf
46,https://steem.com/steem-whitepaper.pdf
47,https://www.gwkjbc.com/Uploads/2019-01-18/5c413029734bd.pdf
48,https://tron.network/static/doc/white_paper_v_2_0.pdf
49,https://s3.us-east-2.amazonaws.com/assets.thetatoken.org/Theta-white-paper-latest.pdf
50,https://enjincoin.io/enjincoin_whitepaper.pdf
51,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf
52,https://crushcrypto.com/wp-content/uploads/2017/11/HDG-Whitepaper.pdf
53,https://mixrent.io/documents/wp_en.pdf
54,https://status.im/whitepaper.pdf
55,https://stratisplatform.com/files/Stratis_Whitepaper.pdf
56,https://golem.network/doc/Golemwhitepaper.pdf
57,https://cdn.vechain.com/vechainthor_development_plan_and_whitepaper_en_v1.0.pdf
58,https://wax.io/uploads/WAX_White_Paper.pdf
59,https://www.abbcfoundation.com/downloads/whitepaper_v_1.941_eng.pdf
60,https://makerdao.com/whitepaper/DaiDec17WP.pdf
