,0
94,https://fantom.foundation/contents/data/2018files/10/wp_fantom_v1.6.pdf
95,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf
96,https://digitexfutures.com/whitepaper/Digitex-Whitepaper.v.1.1.pdf
97,https://www.etherzero.org/ETZ%20Whitepaper%20v2.0.pdf
98,https://www.ipchaindatabase.com/assets/downloads/IPCHAIN_ExecutiveSummary.pdf
99,https://quarkchain.io/QUARK%20CHAIN%20Public%20Version%200.3.4.pdf
100,https://s3.us-east-2.amazonaws.com/assets.thetatoken.org/Theta-white-paper-latest.pdf
101,https://wanchain.org/files/Wanchain-Whitepaper-EN-version.pdf
102,https://cdn-new.latoken.com/common/files/whitepaper/latoken-whitepaper-en.pdf
103,https://enigma.co/enigma_full.pdf
104,https://www.moac.io/uploads/MOAC_White_Paper.pdf
105,https://iotchain.io/whitepaper/ITCWHITEPAPER.pdf
106,https://www.newtoncoin.site/NCP_WP_V1.pdf
107,https://daks2k3a4ib2z.cloudfront.net/5a46fad33472ef00014b540a/5a46fad33472ef00014b54d0_Polymath%20Whitepaper.pdf
108,https://www.arcblock.io/file/whitepaper/WhitePaperEnV2_en-US.pdf
109,https://funfair.io/wp-content/uploads/FunFair-Commercial-White-Paper.pdf
110,https://ecoreal.estate/wp-content/uploads/2019/02/ECOREAL-Whirepaper.pdf
111,https://d2n2g5n187q8lu.cloudfront.net/static/docs/BRD-whitepaper-EN.pdf
112,https://storj.io/storjv3.pdf
113,https://www.cortexlabs.ai/Cortex_AI_on_Blockchain_EN.pdf
114,https://republicprotocol.github.io/whitepaper/republic-whitepaper.pdf
115,https://cdn.crypto20.com/pdf/c20-whitepaper.pdf
116,https://cryptorating.eu/whitepapers/CyberMiles/Technical%20Whitepaper_en-US.pdf
117,https://www.docdroid.net/QdCqGO9/stasis-white-paper-2.pdf
118,https://cryptorating.eu/whitepapers/Syscoin/whitepaper.pdf
119,https://tomochain.com/docs/technical-whitepaper--1.0.pdf
120,https://mith.io/whitepaper.pdf
121,https://azultec.de/wp-content/uploads/EN_azultec-WhitePaper.pdf
122,https://ultrain.io/downloads/Ultrain%20Whitepaper_v1.1.8.pdf
123,https://iex.ec/wp-content/uploads/pdf/iExec-WPv3.0-English.pdf
124,https://docs.rifos.org/rif-whitepaper-en.pdf
125,https://tokensale.civic.com/CivicTokenSaleWhitePaper.pdf
126,https://cosmos.network/cosmos-whitepaper.pdf
127,https://icobazaar.com/storage/campaigns/3101/whitepaper.pdf
128,https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf
129,https://decred.org/research/buterin2014.pdf
